CohortMonth,CohortIndex,retention_rate
2009-12,1,1.0
2010-01,1,1.0
2010-02,1,1.0
2010-03,1,1.0
2010-04,1,1.0
2010-05,1,1.0
2010-06,1,1.0
2010-07,1,1.0
2010-08,1,1.0
2010-09,1,1.0
2010-10,1,1.0
2010-11,1,1.0
2010-12,1,1.0
2011-01,1,1.0
2011-02,1,1.0
2011-03,1,1.0
2011-04,1,1.0
2011-05,1,1.0
2011-06,1,1.0
2011-07,1,1.0
2011-08,1,1.0
2011-09,1,1.0
2011-10,1,1.0
2011-11,1,1.0
2011-12,1,1.0
2009-12,2,0.35287958115183243
2010-01,2,0.206266318537859
2010-02,2,0.23796791443850268
2010-03,2,0.18961625282167044
2010-04,2,0.19387755102040816
2010-05,2,0.15748031496062992
2010-06,2,0.17407407407407408
2010-07,2,0.15591397849462366
2010-08,2,0.2037037037037037
2010-09,2,0.22633744855967078
2010-10,2,0.2572944297082228
2010-11,2,0.1753846153846154
2010-12,2,0.09210526315789473
2011-01,2,0.16901408450704225
2011-02,2,0.16129032258064516
2011-03,2,0.18435754189944134
2011-04,2,0.25471698113207547
2011-05,2,0.23423423423423423
2011-06,2,0.23148148148148148
2011-07,2,0.21568627450980393
2011-08,2,0.27358490566037735
2011-09,2,0.2698412698412698
2011-10,2,0.3212669683257919
2011-11,2,0.14136125654450263
2009-12,3,0.33403141361256544
2010-01,3,0.31070496083550914
2010-02,3,0.22459893048128343
2010-03,3,0.23024830699774265
2010-04,3,0.19387755102040816
2010-05,3,0.16929133858267717
2010-06,3,0.18888888888888888
2010-07,3,0.1827956989247312
2010-08,3,0.2962962962962963
2010-09,3,0.2345679012345679
2010-10,3,0.14588859416445624
2010-11,3,0.09230769230769231
2010-12,3,0.05263157894736842
2011-01,3,0.2112676056338028
2011-02,3,0.1532258064516129
2011-03,3,0.21787709497206703
2011-04,3,0.19811320754716982
2011-05,3,0.24324324324324326
2011-06,3,0.21296296296296297
2011-07,3,0.30392156862745096
2011-08,3,0.3113207547169811
2011-09,3,0.37566137566137564
2011-10,3,0.1583710407239819
2009-12,4,0.42513089005235605
2010-01,4,0.30548302872062666
2010-02,4,0.2914438502673797
2010-03,4,0.24153498871331827
2010-04,4,0.16326530612244897
2010-05,4,0.1732283464566929
2010-06,4,0.2037037037037037
2010-07,4,0.2956989247311828
2010-08,4,0.32098765432098764
2010-09,4,0.12345679012345678
2010-10,4,0.1246684350132626
2010-11,4,0.09538461538461539
2010-12,4,0.09210526315789473
2011-01,4,0.19718309859154928
2011-02,4,0.18548387096774194
2011-03,4,0.2011173184357542
2011-04,4,0.19811320754716982
2011-05,4,0.16216216216216217
2011-06,4,0.26851851851851855
2011-07,4,0.27450980392156865
2011-08,4,0.2641509433962264
2011-09,4,0.14814814814814814
2009-12,5,0.38010471204188484
2010-01,5,0.26370757180156656
2010-02,5,0.24598930481283424
2010-03,5,0.2325056433408578
2010-04,5,0.1836734693877551
2010-05,5,0.17716535433070865
2010-06,5,0.22962962962962963
2010-07,5,0.2903225806451613
2010-08,5,0.1728395061728395
2010-09,5,0.09053497942386832
2010-10,5,0.08753315649867374
2010-11,5,0.07692307692307693
2010-12,5,0.11842105263157894
2011-01,5,0.2112676056338028
2011-02,5,0.21774193548387097
2011-03,5,0.22346368715083798
2011-04,5,0.1792452830188679
2011-05,5,0.21621621621621623
2011-06,5,0.2037037037037037
2011-07,5,0.3431372549019608
2011-08,5,0.16981132075471697
2009-12,6,0.35916230366492147
2010-01,6,0.3002610966057441
2010-02,6,0.20053475935828877
2010-03,6,0.20316027088036118
2010-04,6,0.22448979591836735
2010-05,6,0.2559055118110236
2010-06,6,0.2851851851851852
2010-07,6,0.13978494623655913
2010-08,6,0.11728395061728394
2010-09,6,0.102880658436214
2010-10,6,0.08222811671087533
2010-11,6,0.08615384615384615
2010-12,6,0.06578947368421052
2011-01,6,0.15492957746478872
2011-02,6,0.1532258064516129
2011-03,6,0.15083798882681565
2011-04,6,0.2358490566037736
2011-05,6,0.2072072072072072
2011-06,6,0.28703703703703703
2011-07,6,0.1568627450980392
2009-12,7,0.3769633507853403
2010-01,7,0.2584856396866841
2010-02,7,0.1925133689839572
2010-03,7,0.24604966139954854
2010-04,7,0.2755102040816326
2010-05,7,0.2125984251968504
2010-06,7,0.1259259259259259
2010-07,7,0.11290322580645161
2010-08,7,0.09876543209876543
2010-09,7,0.13580246913580246
2010-10,7,0.129973474801061
2010-11,7,0.12923076923076923
2010-12,7,0.05263157894736842
2011-01,7,0.15492957746478872
2011-02,7,0.1532258064516129
2011-03,7,0.20670391061452514
2011-04,7,0.1792452830188679
2011-05,7,0.26126126126126126
2011-06,7,0.08333333333333333
2009-12,8,0.3424083769633508
2010-01,8,0.2297650130548303
2010-02,8,0.28609625668449196
2010-03,8,0.30248306997742663
2010-04,8,0.2619047619047619
2010-05,8,0.12598425196850394
2010-06,8,0.08888888888888889
2010-07,8,0.14516129032258066
2010-08,8,0.12345679012345678
2010-09,8,0.09876543209876543
2010-10,8,0.13793103448275862
2010-11,8,0.09846153846153846
2010-12,8,0.09210526315789473
2011-01,8,0.1267605633802817
2011-02,8,0.14516129032258066
2011-03,8,0.2011173184357542
2011-04,8,0.25471698113207547
2011-05,8,0.11711711711711711
2009-12,9,0.33612565445026177
2010-01,9,0.2793733681462141
2010-02,9,0.2540106951871658
2010-03,9,0.27539503386004516
2010-04,9,0.1054421768707483
2010-05,9,0.05905511811023622
2010-06,9,0.08148148148148149
2010-07,9,0.14516129032258066
2010-08,9,0.13580246913580246
2010-09,9,0.12757201646090535
2010-10,9,0.10610079575596817
2010-11,9,0.08615384615384615
2010-12,9,0.05263157894736842
2011-01,9,0.11267605633802817
2011-02,9,0.14516129032258066
2011-03,9,0.24022346368715083
2011-04,9,0.11320754716981132
2009-12,10,0.362303664921466
2010-01,10,0.3185378590078329
2010-02,10,0.27540106951871657
2010-03,10,0.10835214446952596
2010-04,10,0.10884353741496598
2010-05,10,0.08267716535433071
2010-06,10,0.11851851851851852
2010-07,10,0.11290322580645161
2010-08,10,0.12962962962962962
2010-09,10,0.13168724279835392
2010-10,10,0.09283819628647215
2010-11,10,0.08923076923076922
2010-12,10,0.02631578947368421
2011-01,10,0.2112676056338028
2011-02,10,0.1774193548387097
2011-03,10,0.09497206703910614
2009-12,11,0.42198952879581153
2010-01,11,0.3028720626631854
2010-02,11,0.11497326203208556
2010-03,11,0.11512415349887133
2010-04,11,0.07482993197278912
2010-05,11,0.1141732283464567
2010-06,11,0.10740740740740741
2010-07,11,0.13440860215053763
2010-08,11,0.12962962962962962
2010-09,11,0.11522633744855967
2010-10,11,0.10610079575596817
2010-11,11,0.11076923076923077
2010-12,11,0.09210526315789473
2011-01,11,0.2535211267605634
2011-02,11,0.056451612903225805
2009-12,12,0.4952879581151832
2010-01,12,0.17232375979112272
2010-02,12,0.12566844919786097
2010-03,12,0.14221218961625282
2010-04,12,0.13945578231292516
2010-05,12,0.13385826771653545
2010-06,12,0.13703703703703704
2010-07,12,0.14516129032258066
2010-08,12,0.12345679012345678
2010-09,12,0.09876543209876543
2010-10,12,0.129973474801061
2010-11,12,0.14461538461538462
2010-12,12,0.19736842105263158
2011-01,12,0.11267605633802817
