CohortIndex,avg_retention
1,1.0
2,0.21165569861376554
3,0.21922147012325374
4,0.21615813038439846
5,0.20542557354782923
6,0.18843846669760775
7,0.17821329990655507
8,0.17657140213761435
9,0.15621022837648207
10,0.152556114996396
11,0.1499721448861478
12,0.16413287808134466
13,0.18244795056576202
14,0.1671109883856131
15,0.1567168337131122
16,0.16516296940324265
17,0.17190018242186172
18,0.1774090116267425
19,0.16774651892146933
20,0.19301527786506886
21,0.19965529902193657
22,0.18762577765276386
23,0.20298879356535307
24,0.2323855480978224
25,0.1968586387434555
